Date,CEFA
01/02/2018,1890
01/10/2018,1798
01/02/2019,1918
01/10/2019,1833
01/02/2020,1915
01/10/2020,4620
01/02/2021,4160
01/10/2021,6666
01/02/2022,6141
01/10/2022,7046
01/02/2023,6299
01/10/2023,8018
01/02/2024,7165
